source,target,type,id,label,timeset,weight
2983,2965,Directed,1,,,
2984,2967,Directed,2,,,
2985,2969,Directed,3,,,
2986,2976,Directed,4,,,
2987,2976,Directed,5,,,
2988,2972,Directed,6,,,
2989,2972,Directed,7,,,
2989,2970,Directed,8,,,
2989,2967,Directed,9,,,
2989,2968,Directed,10,,,
2989,2965,Directed,11,,,
2990,2976,Directed,12,,,
2991,2968,Directed,13,,,
2992,2970,Directed,14,,,
2993,2972,Directed,15,,,
2994,2972,Directed,16,,,
2995,2972,Directed,17,,,
2995,2970,Directed,18,,,
2995,2978,Directed,19,,,
2995,2974,Directed,20,,,
2996,2968,Directed,21,,,
2997,2972,Directed,22,,,
2998,2972,Directed,23,,,
2999,2974,Directed,24,,,
2999,2981,Directed,25,,,
2992,2968,Directed,26,,,
3001,2976,Directed,27,,,
3002,2972,Directed,28,,,
3003,2976,Directed,29,,,
3004,2965,Directed,30,,,
3005,2972,Directed,31,,,
3006,2980,Directed,32,,,
3007,2971,Directed,33,,,
3008,2976,Directed,34,,,
3009,2972,Directed,35,,,
3010,2974,Directed,36,,,
3011,2973,Directed,37,,,
3012,2972,Directed,38,,,
3013,2972,Directed,39,,,
3014,2972,Directed,40,,,
3015,2976,Directed,41,,,
3016,2977,Directed,42,,,
3017,2972,Directed,43,,,
3018,2976,Directed,44,,,
3019,2972,Directed,45,,,
3021,2967,Directed,46,,,
3020,2976,Directed,47,,,
3022,2972,Directed,48,,,
3024,2971,Directed,49,,,
3023,2967,Directed,50,,,
3025,2980,Directed,51,,,
3026,2982,Directed,52,,,
3027,2978,Directed,53,,,
3027,2974,Directed,54,,,
3028,2977,Directed,55,,,
3029,2977,Directed,56,,,
3030,2976,Directed,57,,,
3031,2966,Directed,58,,,
3032,2971,Directed,59,,,
3033,2967,Directed,60,,,
3034,2972,Directed,61,,,
3035,2972,Directed,62,,,
3036,2977,Directed,63,,,
3037,2980,Directed,64,,,
3038,2972,Directed,65,,,
3039,2973,Directed,66,,,
3040,2971,Directed,67,,,
3041,2974,Directed,68,,,
3041,2981,Directed,69,,,
3044,2978,Directed,70,,,
3043,2978,Directed,71,,,
3043,2970,Directed,72,,,
3044,2971,Directed,73,,,
3042,2966,Directed,74,,,
3043,2966,Directed,75,,,
3044,2970,Directed,76,,,
3045,2969,Directed,77,,,
3045,2974,Directed,78,,,
3045,2981,Directed,79,,,
3045,2979,Directed,80,,,
3046,2976,Directed,81,,,
3047,2972,Directed,82,,,
3048,2972,Directed,83,,,
3049,2976,Directed,84,,,
3050,2973,Directed,85,,,
3050,2975,Directed,86,,,
3051,2972,Directed,87,,,
3052,2972,Directed,88,,,
3053,2976,Directed,89,,,
3054,2972,Directed,90,,,
3055,2979,Directed,91,,,
3056,2972,Directed,92,,,
3057,2972,Directed,93,,,
3058,2967,Directed,94,,,
3059,2967,Directed,95,,,
3059,2965,Directed,96,,,
3060,2977,Directed,97,,,
3060,2980,Directed,98,,,
3061,2982,Directed,99,,,
3062,2977,Directed,100,,,
3063,2978,Directed,101,,,
3063,2968,Directed,102,,,
3063,2970,Directed,103,,,
3063,2981,Directed,104,,,
3064,2969,Directed,105,,,
3065,2977,Directed,106,,,
3066,2975,Directed,107,,,
3067,2975,Directed,108,,,
3068,2980,Directed,109,,,
3069,2972,Directed,110,,,
3070,2976,Directed,111,,,
3071,2972,Directed,112,,,
3072,2968,Directed,113,,,
3072,2973,Directed,114,,,
3073,2979,Directed,115,,,
3074,2979,Directed,116,,,
3075,2972,Directed,117,,,
3076,2975,Directed,118,,,
3077,2980,Directed,119,,,
3078,2977,Directed,120,,,
3079,2976,Directed,121,,,
3080,2972,Directed,122,,,
3081,2977,Directed,123,,,
3082,2982,Directed,124,,,
3083,2980,Directed,125,,,
3084,2976,Directed,126,,,
3085,2969,Directed,127,,,
3086,2969,Directed,128,,,
3086,2976,Directed,129,,,
3086,2974,Directed,130,,,
3087,2976,Directed,131,,,
3088,2972,Directed,132,,,
3089,2979,Directed,133,,,
3090,2978,Directed,134,,,
3091,2976,Directed,135,,,
3092,2978,Directed,136,,,
3092,2974,Directed,137,,,
3092,2972,Directed,138,,,
3093,2976,Directed,139,,,
3094,2982,Directed,140,,,
3095,2972,Directed,141,,,
3096,2975,Directed,142,,,
3097,2966,Directed,143,,,
3098,2972,Directed,144,,,
3099,2976,Directed,145,,,
3100,2973,Directed,146,,,
3101,2977,Directed,147,,,
3102,2977,Directed,148,,,
3103,2972,Directed,149,,,
3104,2972,Directed,150,,,
3105,2967,Directed,151,,,
3106,2966,Directed,152,,,
3107,2979,Directed,153,,,
3108,2972,Directed,154,,,
3109,2968,Directed,155,,,
3109,2970,Directed,156,,,
3109,2978,Directed,157,,,
3109,2973,Directed,158,,,
3110,2981,Directed,159,,,
3111,2981,Directed,160,,,
3111,2978,Directed,161,,,
3113,2973,Directed,162,,,
3112,2968,Directed,163,,,
3114,2977,Directed,164,,,
3115,2972,Directed,165,,,
3116,2977,Directed,166,,,
3117,2977,Directed,167,,,
3118,2973,Directed,168,,,
3118,2968,Directed,169,,,
3119,2969,Directed,170,,,
3120,2975,Directed,171,,,
3121,2965,Directed,172,,,
3122,2972,Directed,173,,,
3123,2966,Directed,174,,,
3124,2971,Directed,175,,,
3125,2974,Directed,176,,,
3126,2970,Directed,177,,,
3127,2972,Directed,178,,,
3128,2972,Directed,179,,,
3129,2972,Directed,180,,,
3130,2975,Directed,181,,,
3131,2972,Directed,182,,,
3132,2975,Directed,183,,,
3133,2977,Directed,184,,,
3134,2976,Directed,185,,,
3135,2972,Directed,186,,,
3136,2971,Directed,187,,,
3136,2965,Directed,188,,,
3136,2967,Directed,189,,,
3137,2976,Directed,190,,,
3138,2971,Directed,191,,,
3139,2968,Directed,192,,,
3139,2978,Directed,193,,,
3139,2973,Directed,194,,,
3140,2969,Directed,195,,,
3141,2977,Directed,196,,,
3142,2971,Directed,197,,,
3143,2968,Directed,198,,,
3143,2973,Directed,199,,,
3144,2972,Directed,200,,,
3145,2980,Directed,201,,,
3146,2979,Directed,202,,,
3149,2979,Directed,203,,,
3149,2981,Directed,204,,,
3147,2969,Directed,205,,,
3149,2967,Directed,206,,,
3148,2965,Directed,207,,,
3147,2976,Directed,208,,,
3150,2975,Directed,209,,,
3151,2976,Directed,210,,,
3152,2973,Directed,211,,,
3153,2972,Directed,212,,,
3154,2972,Directed,213,,,
3155,2968,Directed,214,,,
3156,2972,Directed,215,,,
3157,2967,Directed,216,,,
3158,2967,Directed,217,,,
3159,2977,Directed,218,,,
3160,2974,Directed,219,,,
3161,2976,Directed,220,,,
3162,2969,Directed,221,,,
3163,2977,Directed,222,,,
3164,2972,Directed,223,,,
3165,2969,Directed,224,,,
3166,2967,Directed,225,,,
3167,2965,Directed,226,,,
3166,2971,Directed,227,,,
3166,2978,Directed,228,,,
3166,2981,Directed,229,,,
3168,2977,Directed,230,,,
3169,2973,Directed,231,,,
3169,2968,Directed,232,,,
3170,2979,Directed,233,,,
3171,2981,Directed,234,,,
3171,2967,Directed,235,,,
3171,2965,Directed,236,,,
3171,2970,Directed,237,,,
3171,2971,Directed,238,,,
3171,2978,Directed,239,,,
3172,2976,Directed,240,,,
2992,2974,Directed,241,,,
2992,2972,Directed,242,,,
3174,2972,Directed,243,,,
3175,2977,Directed,244,,,
3175,2980,Directed,245,,,
3176,2980,Directed,246,,,
3177,2972,Directed,247,,,
3178,2972,Directed,248,,,
3178,2969,Directed,249,,,
3179,2965,Directed,250,,,
3180,2971,Directed,251,,,
3181,2972,Directed,252,,,
3182,2969,Directed,253,,,
3183,2972,Directed,254,,,
3184,2976,Directed,255,,,
3185,2967,Directed,256,,,
3186,2972,Directed,257,,,
3187,2977,Directed,258,,,
3188,2972,Directed,259,,,
3189,2972,Directed,260,,,
3190,2980,Directed,261,,,
3191,2968,Directed,262,,,
3192,2981,Directed,263,,,
3193,2975,Directed,264,,,
3194,2975,Directed,265,,,
3195,2979,Directed,266,,,
3196,2973,Directed,267,,,
3196,2968,Directed,268,,,
3196,2972,Directed,269,,,
3197,2972,Directed,270,,,
3198,2972,Directed,271,,,
3199,2978,Directed,272,,,
3200,2976,Directed,273,,,
3201,2977,Directed,274,,,
3202,2972,Directed,275,,,
3203,2966,Directed,276,,,
3204,2972,Directed,277,,,
3205,2972,Directed,278,,,
3206,2968,Directed,279,,,
3206,2970,Directed,280,,,
3206,2973,Directed,281,,,
3207,2972,Directed,282,,,
3208,2976,Directed,283,,,
3209,2980,Directed,284,,,
3210,2979,Directed,285,,,
3211,2980,Directed,286,,,
3212,2972,Directed,287,,,
3213,2977,Directed,288,,,
3214,2979,Directed,289,,,
3215,2967,Directed,290,,,
3215,2965,Directed,291,,,
3216,2966,Directed,292,,,
3217,2980,Directed,293,,,
3218,2973,Directed,294,,,
3219,2977,Directed,295,,,
3220,2977,Directed,296,,,
3221,2972,Directed,297,,,
3222,2972,Directed,298,,,
3223,2977,Directed,299,,,
3224,2972,Directed,300,,,
3225,2977,Directed,301,,,
3226,2981,Directed,302,,,
3227,2971,Directed,303,,,
3228,2966,Directed,304,,,
3229,2972,Directed,305,,,
3230,2977,Directed,306,,,
3231,2975,Directed,307,,,
3232,2976,Directed,308,,,
3233,2972,Directed,309,,,
3234,2976,Directed,310,,,
3235,2981,Directed,311,,,
3236,2976,Directed,312,,,
3237,2979,Directed,313,,,
3238,2977,Directed,314,,,
3239,2976,Directed,315,,,
3240,2972,Directed,316,,,
3241,2977,Directed,317,,,
3242,2978,Directed,318,,,
3242,2974,Directed,319,,,
3242,2967,Directed,320,,,
3242,2970,Directed,321,,,
3242,2981,Directed,322,,,
3243,2975,Directed,323,,,
3244,2974,Directed,324,,,
3244,2978,Directed,325,,,
3244,2970,Directed,326,,,
3244,2968,Directed,327,,,
3244,2969,Directed,328,,,
3244,2967,Directed,329,,,
3244,2965,Directed,330,,,
3244,2972,Directed,331,,,
3245,2982,Directed,332,,,
3246,2980,Directed,333,,,
3247,2977,Directed,334,,,
3248,2975,Directed,335,,,
3249,2965,Directed,336,,,
3250,2968,Directed,337,,,
3250,2973,Directed,338,,,
3251,2980,Directed,339,,,
3252,2970,Directed,340,,,
3252,2971,Directed,341,,,
3253,2972,Directed,342,,,
3254,2979,Directed,343,,,
3255,2979,Directed,344,,,
3255,2972,Directed,345,,,
3255,2969,Directed,346,,,
3255,2974,Directed,347,,,
3255,2976,Directed,348,,,
3255,2978,Directed,349,,,
3256,2970,Directed,350,,,
3256,2967,Directed,351,,,
3256,2965,Directed,352,,,
3256,2971,Directed,353,,,
3257,2981,Directed,354,,,
3258,2975,Directed,355,,,
3259,2974,Directed,356,,,
3259,2978,Directed,357,,,
3260,2976,Directed,358,,,
3261,2965,Directed,359,,,
3262,2971,Directed,360,,,
3262,2972,Directed,361,,,
3263,2972,Directed,362,,,
3264,2969,Directed,363,,,
3265,2972,Directed,364,,,
3266,2965,Directed,365,,,
3267,2975,Directed,366,,,
3268,2976,Directed,367,,,
3269,2965,Directed,368,,,
3270,2973,Directed,369,,,
3271,2972,Directed,370,,,
3272,2980,Directed,371,,,
3273,2975,Directed,372,,,
3274,2976,Directed,373,,,
3275,2975,Directed,374,,,
3276,2972,Directed,375,,,
3277,2977,Directed,376,,,
3278,2976,Directed,377,,,
3279,2980,Directed,378,,,
3280,2972,Directed,379,,,
3281,2976,Directed,380,,,
3282,2974,Directed,381,,,
3282,2978,Directed,382,,,
3282,2979,Directed,383,,,
3282,2981,Directed,384,,,
3068,2977,Directed,385,,,
3284,2966,Directed,386,,,
3285,2976,Directed,387,,,
3286,2971,Directed,388,,,
3287,2979,Directed,389,,,
3287,2981,Directed,390,,,
3288,2972,Directed,391,,,
3123,2981,Directed,392,,,
3290,2969,Directed,393,,,
3291,2967,Directed,394,,,
3291,2974,Directed,395,,,
3292,2977,Directed,396,,,
3292,2980,Directed,397,,,
3293,2976,Directed,398,,,
3294,2974,Directed,399,,,
3295,2972,Directed,400,,,
3296,2978,Directed,401,,,
3297,2978,Directed,402,,,
3297,2976,Directed,403,,,
3297,2975,Directed,404,,,
3297,2974,Directed,405,,,
3297,2973,Directed,406,,,
3297,2972,Directed,407,,,
3297,2971,Directed,408,,,
3297,2968,Directed,409,,,
3297,2969,Directed,410,,,
3297,2970,Directed,411,,,
3297,2967,Directed,412,,,
3297,2966,Directed,413,,,
3297,2965,Directed,414,,,
3297,2981,Directed,415,,,
3298,2966,Directed,416,,,
3299,2972,Directed,417,,,
3300,2970,Directed,418,,,
3300,2969,Directed,419,,,
3300,2974,Directed,420,,,
3300,2973,Directed,421,,,
3300,2976,Directed,422,,,
3300,2978,Directed,423,,,
3300,2979,Directed,424,,,
3300,2981,Directed,425,,,
3301,2977,Directed,426,,,
3303,2977,Directed,427,,,
3302,2977,Directed,428,,,
3304,2972,Directed,429,,,
3305,2971,Directed,430,,,
3306,2981,Directed,431,,,
3307,2978,Directed,432,,,
3307,2975,Directed,433,,,
3307,2970,Directed,434,,,
3308,2978,Directed,435,,,
3309,2982,Directed,436,,,
3310,2972,Directed,437,,,
3311,2975,Directed,438,,,
3312,2975,Directed,439,,,
3312,2973,Directed,440,,,
3313,2975,Directed,441,,,
3313,2970,Directed,442,,,
3314,2976,Directed,443,,,
3315,2972,Directed,444,,,
3316,2971,Directed,445,,,
3316,2970,Directed,446,,,
3317,2970,Directed,447,,,
3317,2968,Directed,448,,,
3317,2978,Directed,449,,,
3317,2973,Directed,450,,,
3318,2976,Directed,451,,,
3318,2969,Directed,452,,,
3318,2972,Directed,453,,,
3319,2972,Directed,454,,,
3320,2966,Directed,455,,,
3321,2967,Directed,456,,,
3321,2966,Directed,457,,,
3321,2965,Directed,458,,,
3321,2970,Directed,459,,,
3321,2971,Directed,460,,,
3321,2978,Directed,461,,,
3321,2981,Directed,462,,,
3322,2971,Directed,463,,,
3323,2980,Directed,464,,,
3324,2977,Directed,465,,,
3325,2973,Directed,466,,,
3326,2978,Directed,467,,,
3327,2978,Directed,468,,,
3328,2977,Directed,469,,,
3329,2976,Directed,470,,,
3330,2972,Directed,471,,,
3331,2976,Directed,472,,,
3332,2977,Directed,473,,,
3333,2973,Directed,474,,,
3333,2968,Directed,475,,,
3334,2974,Directed,476,,,
3334,2978,Directed,477,,,
3334,2981,Directed,478,,,
3335,2980,Directed,479,,,
3336,2976,Directed,480,,,
3337,2972,Directed,481,,,
3338,2980,Directed,482,,,
3339,2965,Directed,483,,,
3340,2977,Directed,484,,,
3341,2982,Directed,485,,,
3142,2965,Directed,486,,,
3343,2981,Directed,487,,,
3344,2978,Directed,488,,,
